"","price","unit_size","land_size","age","todt","sales_year"
"161",383000,148.644805908203,245.263916015625,24,0,2004
"162",305000,92.9029998779297,252.696166992188,37,0,2010
"163",444000,111.11198425293,464.515014648438,82,0,2007
"164",545000,209.031753540039,371.611999511719,75,0,2005
"165",330630,118.544227600098,239.039413452148,34,0,2009
"166",207900,188.128570556641,200.856292724609,1,0,2004
"167",485000,171.68473815918,353.031402587891,34,0,2004
"168",1537557,469.16015625,836.127014160156,1,0,2012
"169",310000,98.8487930297852,418.063507080078,18,0,2005
"170",499397,191.380172729492,243.870376586914,0,0,2006
"171",468000,189.522125244141,371.611999511719,82,0,2012
"172",310000,141.955780029297,266.074188232422,97,0,2007
"173",275000,161.651214599609,162.58024597168,1,0,2004
"174",5e+05,133.780319213867,229.470413208008,36,0,2006
"175",420000,232.257507324219,220.737533569336,7,0,2003
"176",372500,103.679748535156,464.515014648438,104,0,2003
"177",85000,115.942947387695,278.709014892578,34,0,2004
"178",441090,163.230575561523,185.805999755859,1,0,2006
"179",450000,209.217559814453,221.016235351562,9,0,2007
"180",688000,195.560821533203,371.611999511719,79,0,2004
"181",76500,124.861633300781,613.159790039062,57,0,2007
"182",330000,221.85237121582,139.354507446289,15,0,2012
"183",257000,143.070617675781,115.199722290039,7,0,2008
"184",170000,122.631958007812,167.225402832031,20,0,2009
"185",385000,192.773727416992,225.196868896484,23,0,2009
"186",393000,118.915840148926,305.465057373047,40,0,2005
"187",338000,105.90941619873,315.219879150391,25,0,2003
"188",574000,158.771224975586,312.154083251953,32,0,2007
"189",285000,122.539054870605,126.812591552734,19,0,2009
"190",433000,153.104141235352,371.611999511719,34,0,2004
"191",475000,96.6191177368164,370.125549316406,45,0,2005
"192",442000,92.9029998779297,371.611999511719,50,0,2010
"193",400530,122.631958007812,185.805999755859,2,0,2006
"194",183000,497.960083007812,464.515014648438,91,0,2011
"195",335000,92.9029998779297,278.709014892578,55,0,2010
"196",477500,200.670486450195,234.580078125,0,0,2006
"197",134000,132.108062744141,108.696510314941,14,0,2004
"198",248490,89.9301071166992,375.328125,53,0,2008
"199",750000,297.289611816406,6038.69482421875,106,0,2006
"200",250000,114.270690917969,207.452392578125,43,0,2003
"201",425000,167.225402832031,261.800659179688,15,0,2006
"202",305500,159.793167114258,100.335243225098,18,0,2010
"203",354900,200.670486450195,159.793167114258,1,0,2004
"204",5e+05,102.193298339844,667.786743164062,42,0,2007
"205",280000,92.9029998779297,83.6127014160156,15,0,2003
"206",590000,120.773902893066,371.611999511719,55,0,2005
"207",365000,135.638381958008,427.353790283203,99,0,2009
"208",350000,148.644805908203,236.716842651367,27,0,2007
"209",496250,96.6191177368164,415.462219238281,51,0,2006
"210",349900,288.185119628906,897.814575195312,99,0,2004
"211",330000,89.186882019043,334.450805664062,65,0,2005
"212",430000,115.942947387695,371.611999511719,51,0,2006
"213",3e+05,114.456497192383,185.805999755859,83,0,2008
"214",310000,128.206146240234,150.502853393555,24,0,2010
"215",325000,268.489685058594,371.611999511719,44,0,2004
"216",380000,144.928680419922,147.994476318359,105,0,2006
"217",550000,197.883392333984,371.611999511719,31,0,2006
"218",1e+05,85.8423690795898,154.218978881836,86,0,2011
"219",238290,125.790664672852,46.4514999389648,2,0,2006
"220",445000,115.385528564453,229.470413208008,36,0,2006
"221",240000,134.523544311523,405.057067871094,75,0,2005
"222",437000,114.084884643555,244.520690917969,86,0,2006
"223",752486,345.413360595703,395.116455078125,1,0,2005
"224",340000,228.541381835938,349.315277099609,83,0,2003
"225",410000,258.456146240234,143.535140991211,75,0,2005
"226",337000,132.293869018555,353.031402587891,64,0,2004
"227",693580,164.159606933594,836.127014160156,54,0,2009
"228",429000,134.895156860352,195.096298217773,25,0,2005
"229",950000,117.336486816406,732.168518066406,61,0,2006
"230",397000,111.483596801758,130.064193725586,10,0,2006
"231",385000,118.915840148926,241.547805786133,35,0,2005
"232",425000,101.450073242188,371.611999511719,44,0,2004
"233",720000,229.842025756836,479.936889648438,52,0,2012
"234",175000,213.676895141602,243.870376586914,1,0,2006
"235",380000,148.644805908203,469.16015625,79,0,2009
"236",446000,107.024253845215,226.869125366211,45,0,2010
"237",333700,152.175109863281,278.709014892578,23,0,2003
"238",329550,130.064193725586,185.805999755859,1,0,2003
"239",334520,91.0449371337891,122.631958007812,0,0,2003
"240",365000,178.373764038086,143.535140991211,4,0,2006
"241",253399,130.528717041016,110.090057373047,2,0,2004
"242",650000,198.440811157227,457.918884277344,50,0,2010
"243",405000,115.571334838867,483.095611572266,78,0,2003
"244",204900,106.838447570801,50.6321334838867,0,0,2004
"245",454880,176.515701293945,208.288528442383,2,0,2006
"246",303000,148.644805908203,220.644622802734,16,0,2003
"247",750000,298.218627929688,743.223999023438,36,0,2011
